model,generation,support_bmp,support_jpg,support_gif,main_res,main_size,main_colours,main_name,secondary_res,secondary_size,secondary_colours,secondary_name
T430i,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
T430s,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
T430si,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
T430u,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
T431s,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
T530,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
T530i,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
W530,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
E130,30,false,false,false,,,,,,,,
E135,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
E430,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
E430c,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
E431,30,false,false,false,,,,,,,,
E435,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
E530,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
E530c,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
E531,30,false,false,false,,,,,,,,
E535,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
Helix,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
X1 Helix,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
X1 Helix 3G,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
S230u (twist),30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
S531,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
L430,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
L530,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
X130e,30,true,true,true,640x480,30kb,unlimited,logo.(extension),,,,
X131e,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
X230,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
X230i,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
X230s,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
X230 tablet,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
X230i tablet,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
X1C Gen 1,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
Yoga S1,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
Yoga 12,30,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
T440,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
T440p,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
T440s,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
T540p,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
W540,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
W541,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
E145,40,false,false,false,,,,,,,,
E440,40,false,false,false,,,,,,,,
E540,40,false,false,false,,,,,,,,
E545,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
E445,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768,30kb,unlimited,logo2.(extension)
Helix II,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
S440,40,false,false,false,,,,,,,,
L440,40,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
L540,40,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
X240,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
X240s,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
